id	cage_id	collection_timestamp	description	experimental_group	host_age	sex	strain_genotype	strain_vendor	treatment	faith_pd	shannon
10781.Cage57.female.WT14	Cage57	10/11/16 10:30	WT	WT-none	8	female	WT	Jackson	WT-none	15.73131701	0.441979193
10781.Cage57.female.WT15	Cage57	10/12/16 10:30	WT	WT-none	8	female	WT	Jackson	WT-none	12.68459221	0.446692551
10781.Cage57.female.WT16	Cage57	10/13/16 10:30	WT	WT-none	8	female	WT	Jackson	WT-none	8.667240741	0.332165486
10781.Cage57.female.WT17	Cage57	10/14/16 10:30	WT	WT-none	8	female	WT	Jackson	WT-none	14.05040737	0.457699716
10781.Cage58.female.WT18	Cage58	10/15/16 10:30	WT	WT-none	12	female	WT	Jackson	WT-none	10.64771554	0.256580144
10781.Cage58.female.WT19	Cage58	10/16/16 10:30	WT	WT-none	12	female	WT	Jackson	WT-none	10.95536334	0.320246859
10781.Cage58.female.WT20	Cage58	10/17/16 10:30	WT	WT-none	12	female	WT	Jackson	WT-none	11.63801293	0.25823601
10781.Cage58.female.WT21	Cage58	10/18/16 10:30	WT	WT-none	12	female	WT	Jackson	WT-none	7.560949004	0.291918179
10781.Cage59.female.WT22	Cage59	10/19/16 10:30	WT	WT-none	12	female	WT	Jackson	WT-none	10.7786177	0.327482277
10781.Cage59.female.WT23	Cage59	10/20/16 10:30	WT	WT-none	12	female	WT	Jackson	WT-none	13.97074374	0.44125496
10781.Cage59.female.WT24	Cage59	10/21/16 10:30	WT	WT-none	12	female	WT	Jackson	WT-none	12.24310728	0.335419842
10781.Cage6.male.WT11	Cage6	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	10.32374499	0.422810369
10781.Cage6.male.WT12	Cage6	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	12.73047225	0.47607125
10781.Cage6.male.WT13	Cage6	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	13.90355366	0.481399276
10781.Cage6.male.WT14	Cage6	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	16.07486829	0.582273762
10781.Cage6.male.WT15	Cage6	2/10/16 9:00	WT	WT-none	12	male	WT	Jackson	WT-none	15.30694535	0.463307205
10781.Cage60.male.WT32	Cage60	10/23/16 10:30	WT	WT-none	10	male	WT	Jackson	WT-none	11.85264353	0.464835919
10781.Cage60.male.WT33	Cage60	10/24/16 10:30	WT	WT-none	10	male	WT	Jackson	WT-none	12.50754894	0.510246599
10781.Cage61.male.WT34	Cage61	10/25/16 10:30	WT	WT-none	18	male	WT	Jackson	WT-none	12.16686897	0.380844272
10781.Cage61.male.WT35	Cage61	10/26/16 10:30	WT	WT-none	18	male	WT	Jackson	WT-none	14.51147482	0.549612049
10781.Cage9.female.Qa1	Cage9	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	12	female	Qa-1-/-	In-house	Qa-1-/- none	13.93176545	0.558662028
10781.Cage9.female.Qa2	Cage9	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	12	female	Qa-1-/-	In-house	Qa-1-/- none	13.57637206	0.586978969
10781.Cage9.female.Qa3	Cage9	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	12	female	Qa-1-/-	In-house	Qa-1-/- none	16.77497145	0.66293862
10781.Cage9.female.Qa4	Cage9	2/10/16 10:00	Qa-1-/-	Qa-1-/- none	12	female	Qa-1-/-	In-house	Qa-1-/- none	16.60243718	0.608813345
